method,path,body,single_q,double_q,dashes,braces,spaces,badwords_count,class
GET,/ob.js,,0,0,0,0,0,0,l
GET,/match?publisher_dsp_id=416&external_user_id=XxZ7apnDSMaTtr8X69bIVw&r=https://aax-eu.amazon-adsystem.com/s/ecm3?ex=improvedigitalHMT&id={PUB_USER_ID}&gdpr_consent=,,0,0,0,0,0,1,l
GET,/ul_cb/match?publisher_dsp_id=416&external_user_id=XxZ7apnDSMaTtr8X69bIVw&r=https://aax-eu.amazon-adsystem.com/s/ecm3?ex=improvedigitalHMT&id={PUB_USER_ID}&gdpr_consent=,,0,0,0,0,0,3,l
GET,/api/v1/pbhid?partner_id=0&_it=prebid&t=1&src=id&domain=timesofindia.indiatimes.com,,0,0,0,0,0,0,l
GET,/dmp/async_usersync.html,,0,0,0,0,0,1,l
GET,/bounce?/setuid/a9?entity=188&code=jDBA0yz4QPOLQF9WRm1Qtw&redir=https%3A%2F%2Faax-eu.amazon-adsystem.com%2Fs%2Fecm3%3Fex%3DxandrHMT%26id%3D%24UID&gdpr_consent=,,0,0,0,0,0,4,l
GET,/getuid?https://aax-eu.amazon-adsystem.com/s/ecm3?id=$UID&ex=appnexus.com&gdpr_consent=,,0,0,0,0,0,4,l
GET,/setuid/a9?entity=188&code=jDBA0yz4QPOLQF9WRm1Qtw&redir=https://aax-eu.amazon-adsystem.com/s/ecm3?ex=xandrHMT&id=$UID&gdpr_consent=,,0,0,0,0,0,3,l
POST,/ut/v3/prebid,"{""tags"":[{""sizes"":[{""width"":300,""height"":250},{""width"":250,""height"":250}],""primary_size"":{""width"":300,""height"":250},""ad_types"":[""banner""],""uuid"":""783358b34eb5fb6"",""id"":33893102,""allow_smaller_sizes"":true,""use_pmt_rule"":false,""prebid"":true,""disable_psa"":true,""reserve"":0.55,""position"":2,""supply_type"":""web"",""gpid"":""/7176/TOI/TOI_Tech/TOI_Tech_BTF_300"",""hb_source"":1}],""user"":{},""sdk"":{""source"":""pbjs"",""version"":""9.11.0""},""device"":{""useragent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.70 Safari/537.36"",""w"":1600,""h"":900},""keywords"":[{""key"":""zepto vs swiggy""},{""key"":""zepto ceo aadit palicha""},{""key"":""zepto ceo""},{""key"":""Zepto""},{""key"":""Aadit Palicha""}],""referrer_detection"":{""rd_ref"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""rd_top"":true,""rd_ifs"":0,""rd_stk"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""rd_can"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms""},""eids"":[{""source"":""pubcid.org"",""id"":""9b105281-63da-4fc4-a467-f85f19e64465""}]}",0,122,0,2,18,2,l
POST,/ut/v3/prebid,"{""tags"":[{""sizes"":[{""width"":300,""height"":250},{""width"":250,""height"":250}],""primary_size"":{""width"":300,""height"":250},""ad_types"":[""banner""],""uuid"":""529c5055f992868"",""id"":33893102,""allow_smaller_sizes"":true,""use_pmt_rule"":false,""prebid"":true,""disable_psa"":true,""reserve"":0.55,""position"":2,""supply_type"":""web"",""gpid"":""/7176/TOI/TOI_Tech/TOI_Tech_MTF_300"",""hb_source"":1}],""user"":{},""sdk"":{""source"":""pbjs"",""version"":""9.11.0""},""device"":{""useragent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.70 Safari/537.36"",""w"":1600,""h"":900},""keywords"":[{""key"":""zepto vs swiggy""},{""key"":""zepto ceo aadit palicha""},{""key"":""zepto ceo""},{""key"":""Zepto""},{""key"":""Aadit Palicha""}],""referrer_detection"":{""rd_ref"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""rd_top"":true,""rd_ifs"":0,""rd_stk"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""rd_can"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms""},""eids"":[{""source"":""pubcid.org"",""id"":""9b105281-63da-4fc4-a467-f85f19e64465""}]}",0,122,0,2,18,2,l
POST,/ut/v3/prebid,"{""tags"":[{""sizes"":[{""width"":300,""height"":250},{""width"":250,""height"":250}],""primary_size"":{""width"":300,""height"":250},""ad_types"":[""banner""],""uuid"":""126aa668b6656dae"",""id"":33893102,""allow_smaller_sizes"":true,""use_pmt_rule"":false,""prebid"":true,""disable_psa"":true,""reserve"":0.55,""position"":2,""supply_type"":""web"",""gpid"":""/7176/TOI/TOI_Tech/TOI_Tech_BTF_INF_300"",""hb_source"":1}],""user"":{},""sdk"":{""source"":""pbjs"",""version"":""9.11.0""},""device"":{""useragent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.70 Safari/537.36"",""w"":1600,""h"":900},""keywords"":[{""key"":""zepto vs swiggy""},{""key"":""zepto ceo aadit palicha""},{""key"":""zepto ceo""},{""key"":""Zepto""},{""key"":""Aadit Palicha""}],""referrer_detection"":{""rd_ref"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""rd_top"":true,""rd_ifs"":0,""rd_stk"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""rd_can"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms""},""eids"":[{""source"":""pubcid.org"",""id"":""9b105281-63da-4fc4-a467-f85f19e64465""}]}",0,122,0,2,18,2,l
POST,/ut/v3/prebid,"{""tags"":[{""sizes"":[{""width"":980,""height"":200},{""width"":970,""height"":250},{""width"":728,""height"":90},{""width"":750,""height"":200},{""width"":930,""height"":180},{""width"":950,""height"":90},{""width"":980,""height"":120},{""width"":970,""height"":90}],""primary_size"":{""width"":980,""height"":200},""ad_types"":[""banner""],""uuid"":""21aff7294cde39b"",""id"":33893102,""allow_smaller_sizes"":true,""use_pmt_rule"":false,""prebid"":true,""disable_psa"":true,""reserve"":0.55,""position"":1,""supply_type"":""web"",""gpid"":""/7176/TOI/TOI_Tech/TOI_Tech_ATF_728"",""hb_source"":1},{""sizes"":[{""width"":300,""height"":250},{""width"":250,""height"":250}],""primary_size"":{""width"":300,""height"":250},""ad_types"":[""banner""],""uuid"":""22e750dc3680f5c"",""id"":33893102,""allow_smaller_sizes"":true,""use_pmt_rule"":false,""prebid"":true,""disable_psa"":true,""reserve"":0.55,""position"":1,""supply_type"":""web"",""gpid"":""/7176/TOI/TOI_Tech/TOI_Tech_ATF_300"",""hb_source"":1}],""user"":{},""sdk"":{""source"":""pbjs"",""version"":""9.11.0""},""device"":{""useragent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.70 Safari/537.36"",""w"":1600,""h"":900},""keywords"":[{""key"":""zepto vs swiggy""},{""key"":""zepto ceo aadit palicha""},{""key"":""zepto ceo""},{""key"":""Zepto""},{""key"":""Aadit Palicha""}],""referrer_detection"":{""rd_ref"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""rd_top"":true,""rd_ifs"":0,""rd_stk"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""rd_can"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms""},""eids"":[{""source"":""pubcid.org"",""id"":""9b105281-63da-4fc4-a467-f85f19e64465""}]}",0,194,0,2,18,3,l
POST,/bid/bidder/timesinternet,"{""id"":""1111643f0e45db9b"",""imp"":[{""id"":""11215ebbdf47fa65"",""tagid"":""/7176/TOI/TOI_Tech/TOI_Tech_BTF_INF_300"",""banner"":{""w"":300,""h"":250,""format"":[{""w"":300,""h"":250},{""w"":250,""h"":250}]},""bidfloor"":0.55,""bidfloorcur"":""USD"",""secure"":1,""ext"":{""gpid"":""/7176/TOI/TOI_Tech/TOI_Tech_BTF_INF_300"",""tid"":""52b597d3-6c5c-489e-afdc-88fcfc589ca5"",""data"":{""adserver"":{""name"":""gam"",""adslot"":""/7176/TOI/TOI_Tech/TOI_Tech_BTF_INF_300""},""pbadslot"":""/7176/TOI/TOI_Tech/TOI_Tech_BTF_INF_300""}}}],""site"":{""page"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""ref"":""https://www.google.com/"",""publisher"":{""id"":1,""domain"":""timesofindia.indiatimes.com""},""domain"":""timesofindia.indiatimes.com"",""keywords"":""zepto vs swiggy,zepto ceo aadit palicha,zepto ceo,Zepto,Aadit Palicha"",""content"":{""cat"":[""IAB90-111""]}},""device"":{""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.70 Safari/537.36"",""dnt"":0,""language"":""en"",""connectiontype"":6,""w"":1600,""h"":900,""ext"":{""vpw"":1600,""vph"":765},""sua"":{""source"":1,""platform"":{""brand"":""Windows""},""browsers"":[{""brand"":""Not?A_Brand"",""version"":[""99""]},{""brand"":""Chromium"",""version"":[""130""]}],""mobile"":0}},""user"":{""ext"":{""eids"":[{""source"":""pubcid.org"",""uids"":[{""id"":""9b105281-63da-4fc4-a467-f85f19e64465"",""atype"":1}]}]}},""at"":1,""cur"":[""USD""],""regs"":{},""source"":{""tid"":""f3c5f385-a8da-4979-9543-60fa8cde9b42""},""ext"":{""ttdprebid"":{""ver"":""TTD-PREBID-2024.07.26"",""pbjs"":""9.11.0"",""keywords"":[""zepto vs swiggy"",""zepto ceo aadit palicha"",""zepto ceo"",""Zepto"",""Aadit Palicha""]}}}",0,206,0,2,25,1,l
POST,/bid/bidder/timesinternet,"{""id"":""14d262588001153"",""imp"":[{""id"":""15253226d3262dc"",""tagid"":""/7176/TOI/TOI_Tech/TOI_Tech_ATF_728"",""banner"":{""w"":980,""h"":200,""format"":[{""w"":980,""h"":200},{""w"":970,""h"":250},{""w"":728,""h"":90},{""w"":750,""h"":200},{""w"":930,""h"":180},{""w"":950,""h"":90},{""w"":980,""h"":120},{""w"":970,""h"":90}]},""bidfloor"":0.55,""bidfloorcur"":""USD"",""secure"":1,""ext"":{""gpid"":""/7176/TOI/TOI_Tech/TOI_Tech_ATF_728"",""tid"":""e026818e-e397-47c7-b424-343238809cb8"",""data"":{""adserver"":{""name"":""gam"",""adslot"":""/7176/TOI/TOI_Tech/TOI_Tech_ATF_728""},""pbadslot"":""/7176/TOI/TOI_Tech/TOI_Tech_ATF_728""}}},{""id"":""16125721ca0e487"",""tagid"":""/7176/TOI/TOI_Tech/TOI_Tech_ATF_300"",""banner"":{""w"":300,""h"":250,""format"":[{""w"":300,""h"":250},{""w"":250,""h"":250}]},""bidfloor"":0.55,""bidfloorcur"":""USD"",""secure"":1,""ext"":{""gpid"":""/7176/TOI/TOI_Tech/TOI_Tech_ATF_300"",""tid"":""396b7da9-ae0f-431e-a52d-eb370a73433e"",""data"":{""adserver"":{""name"":""gam"",""adslot"":""/7176/TOI/TOI_Tech/TOI_Tech_ATF_300""},""pbadslot"":""/7176/TOI/TOI_Tech/TOI_Tech_ATF_300""}}}],""site"":{""page"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""ref"":""https://www.google.com/"",""publisher"":{""id"":1,""domain"":""timesofindia.indiatimes.com""},""domain"":""timesofindia.indiatimes.com"",""keywords"":""zepto vs swiggy,zepto ceo aadit palicha,zepto ceo,Zepto,Aadit Palicha"",""content"":{""cat"":[""IAB90-111""]}},""device"":{""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.70 Safari/537.36"",""dnt"":0,""language"":""en"",""connectiontype"":6,""w"":1600,""h"":900,""ext"":{""vpw"":1600,""vph"":765},""sua"":{""source"":1,""platform"":{""brand"":""Windows""},""browsers"":[{""brand"":""Not?A_Brand"",""version"":[""99""]},{""brand"":""Chromium"",""version"":[""130""]}],""mobile"":0}},""user"":{""ext"":{""eids"":[{""source"":""pubcid.org"",""uids"":[{""id"":""9b105281-63da-4fc4-a467-f85f19e64465"",""atype"":1}]}]}},""at"":1,""cur"":[""USD""],""regs"":{},""source"":{""tid"":""0b5fab06-9083-47ac-aa1d-78b659bd9864""},""ext"":{""ttdprebid"":{""ver"":""TTD-PREBID-2024.07.26"",""pbjs"":""9.11.0"",""keywords"":[""zepto vs swiggy"",""zepto ceo aadit palicha"",""zepto ceo"",""Zepto"",""Aadit Palicha""]}}}",0,288,0,2,25,1,l
POST,/bid/bidder/timesinternet,"{""id"":""67b7683e1c459d"",""imp"":[{""id"":""68789b82e742add"",""tagid"":""/7176/TOI/TOI_Tech/TOI_Tech_MTF_300"",""banner"":{""w"":300,""h"":250,""format"":[{""w"":300,""h"":250},{""w"":250,""h"":250}]},""bidfloor"":0.55,""bidfloorcur"":""USD"",""secure"":1,""ext"":{""gpid"":""/7176/TOI/TOI_Tech/TOI_Tech_MTF_300"",""tid"":""79fbf211-dcae-48ab-819f-dcbe912aedac"",""data"":{""adserver"":{""name"":""gam"",""adslot"":""/7176/TOI/TOI_Tech/TOI_Tech_MTF_300""},""pbadslot"":""/7176/TOI/TOI_Tech/TOI_Tech_MTF_300""}}}],""site"":{""page"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""ref"":""https://www.google.com/"",""publisher"":{""id"":1,""domain"":""timesofindia.indiatimes.com""},""domain"":""timesofindia.indiatimes.com"",""keywords"":""zepto vs swiggy,zepto ceo aadit palicha,zepto ceo,Zepto,Aadit Palicha"",""content"":{""cat"":[""IAB90-111""]}},""device"":{""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.70 Safari/537.36"",""dnt"":0,""language"":""en"",""connectiontype"":6,""w"":1600,""h"":900,""ext"":{""vpw"":1600,""vph"":765},""sua"":{""source"":1,""platform"":{""brand"":""Windows""},""browsers"":[{""brand"":""Not?A_Brand"",""version"":[""99""]},{""brand"":""Chromium"",""version"":[""130""]}],""mobile"":0}},""user"":{""ext"":{""eids"":[{""source"":""pubcid.org"",""uids"":[{""id"":""9b105281-63da-4fc4-a467-f85f19e64465"",""atype"":1}]}]}},""at"":1,""cur"":[""USD""],""regs"":{},""source"":{""tid"":""f3786e11-392f-44c3-b691-e30655380cdc""},""ext"":{""ttdprebid"":{""ver"":""TTD-PREBID-2024.07.26"",""pbjs"":""9.11.0"",""keywords"":[""zepto vs swiggy"",""zepto ceo aadit palicha"",""zepto ceo"",""Zepto"",""Aadit Palicha""]}}}",0,206,0,2,25,1,l
POST,/bid/bidder/timesinternet,"{""id"":""917384019b9d987"",""imp"":[{""id"":""92e0e663a16491d"",""tagid"":""/7176/TOI/TOI_Tech/TOI_Tech_BTF_300"",""banner"":{""w"":300,""h"":250,""format"":[{""w"":300,""h"":250},{""w"":250,""h"":250}]},""bidfloor"":0.55,""bidfloorcur"":""USD"",""secure"":1,""ext"":{""gpid"":""/7176/TOI/TOI_Tech/TOI_Tech_BTF_300"",""tid"":""b24078e8-c05c-4cdc-9320-f4934c0692ef"",""data"":{""adserver"":{""name"":""gam"",""adslot"":""/7176/TOI/TOI_Tech/TOI_Tech_BTF_300""},""pbadslot"":""/7176/TOI/TOI_Tech/TOI_Tech_BTF_300""}}}],""site"":{""page"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""ref"":""https://www.google.com/"",""publisher"":{""id"":1,""domain"":""timesofindia.indiatimes.com""},""domain"":""timesofindia.indiatimes.com"",""keywords"":""zepto vs swiggy,zepto ceo aadit palicha,zepto ceo,Zepto,Aadit Palicha"",""content"":{""cat"":[""IAB90-111""]}},""device"":{""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.70 Safari/537.36"",""dnt"":0,""language"":""en"",""connectiontype"":6,""w"":1600,""h"":900,""ext"":{""vpw"":1600,""vph"":765},""sua"":{""source"":1,""platform"":{""brand"":""Windows""},""browsers"":[{""brand"":""Not?A_Brand"",""version"":[""99""]},{""brand"":""Chromium"",""version"":[""130""]}],""mobile"":0}},""user"":{""ext"":{""eids"":[{""source"":""pubcid.org"",""uids"":[{""id"":""9b105281-63da-4fc4-a467-f85f19e64465"",""atype"":1}]}]}},""at"":1,""cur"":[""USD""],""regs"":{},""source"":{""tid"":""844f2d82-14a2-475b-9c5b-a9895cf0c3f4""},""ext"":{""ttdprebid"":{""ver"":""TTD-PREBID-2024.07.26"",""pbjs"":""9.11.0"",""keywords"":[""zepto vs swiggy"",""zepto ceo aadit palicha"",""zepto ceo"",""Zepto"",""Aadit Palicha""]}}}",0,206,0,2,25,1,l
GET,/track/rid?ttd_pid=kg9dznt&fmt=json,,0,0,0,0,0,0,l
GET,/track/usersync?us_privacy=&gdpr=0&gdpr_consent=undefined&ust=image,,0,0,0,0,0,0,l
GET,/s/iu3?d=amazon.in&slot=navFooter&a2=0101e4a4b183097059806bf87a530db8345d9ce44dca2c1935e6d8d4b1e3645df77a&old_oo=0&ts=1732285439583&s=AY9lvE18D7g56M8LCDmG-unh0DRz3797mrA9xgliP9md&gdpr_consent=&gdpr_consent_avl=&cb=1732285439583,,0,0,0,0,0,1,l
GET,/s/iu3?d=amazon.in&slot=navFooter&a2=0101e4a4b183097059806bf87a530db8345d9ce44dca2c1935e6d8d4b1e3645df77a&old_oo=0&ts=1732285439583&s=AY9lvE18D7g56M8LCDmG-unh0DRz3797mrA9xgliP9md&gdpr_consent=&gdpr_consent_avl=&cb=1732285439583&dcc=t,,0,0,0,0,0,1,l
